PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
Alek Stojanov,107,2,0.014632633,2.00416535,0.018730517,5,0.043773887,5.055445224,0.047247152,7,0.058487593,7.066004062,0.066037421
Aleksander Barkov,479,155,0.341783936,166.8359703,0.348300564,252,0.530433462,260.1898215,0.543193782,407,0.871789575,426.8253738,0.891075937
Aleksey Morozov,451,84,0.22655739,96.5330388,0.214042215,135,0.357337399,149.8838122,0.332336612,219,0.583975978,246.4358635,0.546420983
Aleksi Saarela,9,2,0.226033811,2.034304301,0.226033811,2,0.220184418,1.981659763,0.220184418,4,0.444747389,4.002726501,0.444747389
Ales Hemsky,845,174,0.225364944,192.1923359,0.227446551,398,0.454855101,416.0670105,0.492386995,572,0.682081199,610.2987194,0.722247005
Ales Kotalik,542,136,0.249026531,148.4842348,0.273956153,148,0.259439011,151.0529393,0.27869546,284,0.505602541,297.7817674,0.549412855
Ales Pisa,53,1,0.011186894,1.141063214,0.021529495,3,0.032110988,3.27532081,0.061798506,4,0.043529994,4.440059353,0.083774705
Alex Biega,228,4,0.039289436,4.205523254,0.018445277,35,0.136838573,35.75998084,0.156842021,39,0.176540293,40.26812514,0.176614584
Alex Broadhurst,2,0,0,0,0,0,0,0,0,0,0,0,0
Alex Brooks,19,0,0,0,0,1,0.051775596,0.983736316,0.051775596,1,0.053081531,1.008549098,0.053081531
Alex Chiasson,519,92,0.280932764,99.57245639,0.191854444,94,0.184733696,98.39671277,0.189589042,186,0.460755418,197.0913812,0.37975218
Alex DeBrincat,234,87,0.37585536,89.3141761,0.381684513,86,0.365951597,85.42701114,0.365072697,173,0.738625725,173.9626708,0.743430217
Alex Delvecchio*,1550,456,0.297945585,492.3619431,0.317652866,825,0.546008157,896.8342976,0.578602773,1281,0.843112087,1387.79431,0.895351168
Alex Faulkner,101,15,0.109821004,15.75425691,0.155982742,17,0.133656924,17.91642207,0.177390318,32,0.243435628,33.66678269,0.333334482
Alex Formenton,10,1,0.056469594,1.016452685,0.101645268,0,0,0,0,1,0.055390595,0.997030717,0.099703072
Alex Forsyth,1,0,0,0,0,0,0,0,0,0,0,0,0
Alex Foster,3,0,0,0,0,0,0,0,0,0,0,0,0
Alex Friesen,1,0,0,0,0,0,0,0,0,0,0,0,0
Alex Frolov,579,175,0.321682969,191.0884361,0.330031841,222,0.389921779,229.3653627,0.396140523,397,0.708770094,418.7084289,0.723157908
Alex Galchenyuk,549,135,0.262786345,148.2699083,0.270072693,185,0.356240926,194.7954769,0.354818719,320,0.618058369,342.4305529,0.623735069
Alex Goligoski,868,80,0.094052359,87.68543588,0.101020087,327,0.421540423,345.2028531,0.39769914,407,0.519929472,435.898645,0.502187379
Alex Grant,7,2,0.567198091,2.268792364,0.324113195,0,0,0,0,2,0.550208337,2.20083335,0.314404764
Alex Gray,50,7,0.133141821,11.45019657,0.229003931,1,0.060944295,5.241209337,0.104824187,8,0.26493892,22.78474709,0.455694942
Alex Henry,177,2,0.008320432,2.363002754,0.013350298,9,0.034792183,9.278644968,0.052421723,11,0.043537077,11.74976721,0.066382866
Alex Hicks,258,25,0.105461374,26.08861989,0.101118682,54,0.224468095,56.72291232,0.219856249,79,0.330361402,82.91147758,0.321362316
Alex Iafallo,227,41,0.186051925,41.92725022,0.184701543,60,0.266282522,59.58577323,0.262492393,101,0.45192367,101.4150982,0.446762547
Alex Kaleta,387,92,0.242771286,94.38149491,0.243879832,121,0.400274717,150.1332921,0.387941323,213,0.642425065,244.5853662,0.63200353
Alex Killorn,585,131,0.243640996,141.9819788,0.242704237,179,0.32293081,187.6441408,0.320759215,310,0.565654052,329.0807565,0.562531208
Alex Kovalev,1316,430,0.341156822,464.0194674,0.352598379,599,0.458980023,622.6301605,0.473123222,1029,0.798760222,1084.72702,0.824260654
Alex Levinsky,320,14,0.049323173,17.64476549,0.055139892,44,0.228896231,72.61608016,0.226925251,58,0.259318349,85.61034798,0.267532337
Alex McKendry,46,3,0.016423297,2.364954782,0.05141206,6,0.033022826,4.755286961,0.103375804,9,0.049434773,7.118607315,0.154752333
Alex McKinnon,195,19,0.15614984,27.12945547,0.139125413,12,0.30497795,56.45157103,0.289495236,31,0.431408142,76.98187906,0.394778867
Alex Motter,266,39,0.137602471,44.10434926,0.165805824,64,0.290446502,83.72031418,0.314738023,103,0.423670344,126.8955875,0.477051081
Alex Ovechkin,1152,706,0.673203331,771.0801894,0.669340442,572,0.51392576,591.6351319,0.513572163,1278,1.176268962,1350.346273,1.172175584
Alex Pietrangelo,758,109,0.141685337,118.4159323,0.156221547,341,0.420592111,360.4663253,0.475549242,450,0.565232402,481.4648957,0.635177963
Alex Pirus,159,30,0.106380944,27.47340653,0.17278872,28,0.22381165,25.4798909,0.160250886,58,0.330020108,52.97137884,0.333153326
