"SEASON","TEAM_COUNT","TM_GP_TOT","LEAG_GP","PLAYER_COUNT","GP_TOT","G_TOT","A_TOT","PTS_TOT","GPG_TOT","APG_TOT","PTSPG_TOT","LEAG_GPG","LEAG_APG","LEAG_PTSPG","LEAG_GPG_ADJFAC","LEAG_APG_ADJFAC","LEAG_PTSPG_ADJFAC","LEAG_ADJ_GPG","LEAG_ADJ_APG","LEAG_ADJ_PTSPG","GPG_ADJ_CHG","APG_ADJ_CHG","PTSPG_ADJ_CHG"
1998,26,2132,1066,762,38363,5624,9302,14926,0.1466,0.2425,0.3891,5.27579737335835,8.72607879924953,14.0018761726079,1.14851562236894,1.13087190520665,1.13751991976653,6.0593357037551,9.86807735669066,15.9274130604458,0.148515622368942,0.130871905206648,0.137519919766526
1999,27,2214,1107,813,39815,5829,9771,15600,0.1464,0.2454,0.3918,5.26558265582656,8.82655826558266,14.0921409214092,1.15074363082122,1.11799832502882,1.13023373448163,6.0593357037551,9.86807735669066,15.9274130604458,0.15074363082122,0.117998325028816,0.130233734481631
2000,28,2296,1148,838,41295,6305,10599,16904,0.1527,0.2567,0.4093,5.49216027874564,9.23257839721254,14.7247386759582,1.10327000601282,1.06883222997272,1.08167712928252,6.0593357037551,9.86807735669066,15.9274130604458,0.103270006012823,0.0688322299727218,0.0816771292825204
2001,30,2460,1230,883,44248,6781,11504,18285,0.1532,0.26,0.4132,5.5130081300813,9.35284552845529,14.8658536585366,1.0990979082169,1.05508824310931,1.07140924606772,6.05933570375509,9.86807735669066,15.9274130604458,0.0990979082168952,0.055088243109311,0.0714092460677209
2002,30,2460,1230,874,44266,6441,10809,17250,0.1455,0.2442,0.3897,5.23658536585366,8.78780487804878,14.0243902439024,1.15711580742412,1.12292859179661,1.13569380083178,6.0593357037551,9.86807735669066,15.9274130604458,0.157115807424122,0.122928591796606,0.135693800831784
2003,30,2460,1230,888,44257,6530,11116,17646,0.1475,0.2512,0.3987,5.30894308943089,9.03739837398374,14.3463414634146,1.14134501004882,1.09191572046865,1.11020730275123,6.0593357037551,9.86807735669066,15.9274130604458,0.141345010048816,0.0919157204686499,0.110207302751234
2004,30,2460,1230,916,44267,6317,10702,17019,0.1427,0.2418,0.3845,5.13577235772358,8.70081300813008,13.8365853658537,1.17982949431989,1.13415577917488,1.15110864706201,6.0593357037551,9.86807735669066,15.9274130604458,0.179829494319893,0.134155779174875,0.151108647062006
2006,30,2460,1230,868,44242,7442,12805,20247,0.1682,0.2894,0.4576,6.05040650406504,10.4105691056911,16.4609756097561,1.00147580161499,0.947890288850411,0.967586213480925,6.0593357037551,9.86807735669066,15.9274130604458,0.00147580161499146,-0.052109711149589,-0.0324137865190754
2007,30,2460,1230,857,44255,7082,12332,19414,0.16,0.2787,0.4387,5.75772357723577,10.0260162601626,15.7837398373984,1.05238391917802,0.984247092825942,1.00910260968107,6.0593357037551,9.86807735669066,15.9274130604458,0.0523839191780243,-0.0157529071740583,0.00910260968106938
2008,30,2460,1230,851,44266,6691,11489,18180,0.1512,0.2595,0.4107,5.43983739837398,9.34065040650406,14.780487804878,1.11388176888638,1.05646576279306,1.07759725326448,6.0593357037551,9.86807735669066,15.9274130604458,0.11388176888638,0.0564657627930641,0.0775972532644817
